Pathogen list,Original landscape date,Date of the last update,Full vs Partial,Data only from multiplex tests,disease_target,transmission_mode,last_update
Chikungunya Virus,Dec.24, -,,Yes,Chikungunya,Vector-borne,Data only from multiplex tests
Vibrio Cholerae,Apr.23,Sep.24,Full LS and Full update,,Cholera,Waterborne,2024
Sars-CoV-2,Feb.21, -,Full LS but Partial update,,Covid-19,Respiratory,2021
Crimean Congo Hemorrhagic Fever Virus,Oct.21, -,Unknown,,Crimean Congo Hemorrhagic Fever,Contact; Zoonotic,2021
Dengue Virus,Oct.21,Dec.24,Full LS,,Dengue Fever,Vector-borne,2021
Ebola Virus,Oct.21,Apr.24,Full LS and Full update,,Ebola Fever,Contact; Zoonotic,2024
Influenza A, -, -,,Yes,Influenza,Respiratory,Data only from multiplex tests
Influenza B, -, -,,Yes,Influenza,Respiratory,Data only from multiplex tests
Lassa Virus,Jul.23,Apr.24,Full LS and Full update,,Lassa Fever,Contact; Zoonotic,2024
Marburg Virus,Aug.22,Apr.24,Full LS but Partial update,,Marburg,Contact; Zoonotic,2024
Measles Morbillivirus,Jul.23,Sep.24,Full LS and Full update,,Measles,Respiratory,2024
Neisseria Meningitidis,Feb.23,Sep.24,Full LS and Full update,,Meningitis,"Airborne droplets, Contact",2024
Middle East Respiratory Coronavirus,Dec.24, -,,Yes,Middle East Respiratory Syndrome,Contact; Zoonotic,Data only from multiplex tests
Mpox Virus,May.22,Oct.24,Full LS,,Mpox,Contact; Zoonotic,2024
Nipah Virus,Apr.24, -,Full LS,,Nipah,Zoonotic,2024
Salmonella Paratyphi,Nov.23, -,Full LS,,Paratyphoid Fever,Food/waterborne,2023
Rubella Virus,Jul.23,Sep.24,Full LS and Full update,,Rubella,Respiratory,2024
Salmonella Typhi,Nov.23,Sep.24,Full LS and Full update,,Typhoid Fever,Food/waterborne,2024
Yellow Fever Virus,Aug.23,Sep.24,Full LS and Full update,,Yellow Fever,Vector-borne,2024
Zika Virus,, -,,Yes,Zika Fever,Vector-borne; Vertical,Data only from multiplex tests
