"Test Directory Package ID","Assay: Assay ID","Performance Detail Submission ID","Created Date","Assay: Company/Institution Name: Country","Assay: Company/Institution Name: City","Assay: Company/Institution Name: WHO Region","Assay: Company/Institution Name: Website","Assay: Company/Institution Name: Organisation Name","Assay: Assay Name","Assay: Primary Use Case","Assay: Assay Aim","Assay: Disease Target","Assay: Target Pathogen","Assay: Stage of Development","Assay: Regulatory Approval","Assay: Other Regulatory Approval","Assay: Planned Market Entry","Assay: Type of Technology","Assay: Assay Target","Assay: Target Analyte(s)","Assay: Technology principle","Assay: Other Technology principle","Assay: Readout Technology","Assay: Test Format","Assay: Other Test Format","Assay: Instrument requirement","Assay: Level of automation","Assay: Lab vs. POC","Assay: Self-testing/Self-Collection","Assay: Validated Sample Types","Assay: Other Validated Sample Type","Assay: Serovar subtype","Assay: Other serovar subtype","Assay: Time to results (mins)","Assay: Test to be listed on FIND's web page?","Data to be published on FIND's web page","Study Type","FIND Evaluation","Assay Target","Assay: Health Level","Total number of samples","Number of positive samples","Number of negative samples","Sensitivity (%)","95% CI for Clinical Sensitivity (Lower)","95% CI for Clinical Sensitivity (Upper)","Specificity (%)","95% CI for Clinical Specificity (Lower)","95% CI for Clinical Specificity (Upper)","Created By: Full Name","Last Modified By: Full Name","Instrument: Instrument ID","Instrument: Instrument Name"
"a2vVj000001VPT0","a2rVj00000080vh","","16.07.2024","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","WELLlife COVID-19 / Influenza A&B Home Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","","10.00","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VTA1","a2rVj00000081AD","","16.07.2024","Korea, Republic of","Anyang-si","Western Pacific Region","osanghc.com","OSANG Healthcare Co., ltd.","QuickFinder COVID-19/Flu Antigen Self Test","Diagnostic/confirmatory test","ID","Covid-19; Influenza","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","Not applicable","","15.00","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VStt","a2rVj000000816z","","16.07.2024","China","Shenzhen","Western Pacific Region","watmind.com","Shenzhen Watmind Medical Co., ltd.","Speedy Swab Rapid COVID-19 + Flu A&B Antigen Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","InfA N antigen; InfB N antigen; N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Not applicable","","15.00","Yes","","","","","L0: Community","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001VQwv","a2rVj00000080pF","","16.07.2024","China","Guangzhou","Western Pacific Region","en.wondfo.com","Guangzhou Wondfo Biotech Co., Ltd.","WELLlife COVID-19 / Influenza A&B Test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Immunoassay","Antigen","InfA N antigen; InfB N antigen; N-protein","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for professional use only","Nasal swab","","Unspecified","","10.00","Yes","","","","","L0: Community","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2vVj000001fW8D","a2rVj0000008nMv","","12.08.2024","United States","Pleasanton","Region of the Americas","diagnostics.roche.com","Roche Molecular Systems","cobas liat SARS-CoV-2, Influenza A/B & RSV nucleic acid test","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Commercialisation","US FDA EUA","","Already on the market (commercialized)","Molecular","RNA","InfA Matrix gene; InfB NP gene; ORF1ab; RSV Matrix gene","PCR (conventional)","","Fluorescence","Cartridge-based processing","","A proprietary/new instrument is required","Fully automated (including sample preparation)","near Point of Care","Intended for professional use only","Nasal swab; Nasopharyngeal swab","","","","20.00","Yes","","","","","L1: Primary Care","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","a2s690000019Jyv","Cobas liat analyser"
"a2vVj000001fWOM","a2rVj0000008nQ9","","12.08.2024","China","Hangzhou","Western Pacific Region","realytech.com","Hangzhou Realy Tech Co., ltd.","Sonictec RSV, Influenza A/B & Covid-19 Rapid Antigen Combo (Nasal) Self-Testing","Diagnostic/confirmatory test","ID","Common Cold; Covid-19; Influenza; Pneumonia","Influenza A; Influenza B; Respiratory Syncytial Virus (RSV); SARS-CoV-2","Commercialisation","Australia TGA","","Already on the market (commercialized)","Immunoassay","Antigen","Unknown","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","No instrumentation is required","Manual","True Point of Care","Intended for self-testing (version available)","Nasal swab","","","","","Yes","","","","","Self-Testing","","","","","","","","","","Bastien Schyrr","Bastien Schyrr","",""
"a2v69000004CiQl","a2r69000007ISY0","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Quantitative PCR (qPCR) Control RNA from Inactivated SARS Coronavirus, Urbani","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004CiQo","a2r69000007ISY3","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Genomic RNA from SARS-CoV-2, Isolate New York-PV08001/2020","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004CiR5","a2r69000007ISVb","","28.03.2023","United States","Unknown","Region of the Americas","beiresources.org/Home.aspx","BEI Resources","Genomic RNA, SARS-CoV-2, Japan/TY7-503/2021 (Brazil P.1)","Quality Control/Validation","ID","Covid-19; Pneumonia","SARS-CoV-2","Development","Other","Emergency Use Simple Letter Agreement (EUSLA)","Already on the market (commercialized)","Molecular","RNA","Whole Genome","","","","","","","","","","","","Not applicable","","","Yes","","","","","L2: District Hospital Lab; L4: Reference/National Lab","","","","","","","","","","Victoria Aroworade","Victoria Aroworade","",""
"a2v69000004gKmy","a2r69000007lbLk","a266900000BscDF","06.07.2023","United States","Medford","Region of the Americas","chembio.com","Chembio Diagnostic Systems, Inc.","DPP Ebola-Malaria Antigen System","Triage/Screening","ID","Ebola fever","Ebola virus","Validation","Unknown","","Unknown","Immunoassay","Antigen","EBOV viral matrix protein 40","Lateral Flow Assay","","Colorimetric","Rapid diagnostic test (strip or cassette)","","A proprietary/new instrument is required","Manual","True Point of Care","Intended for professional use only","Finger prick blood; Plasma; Venous blood; Whole Blood","","Ebola spp.","","15.00","Yes","No","Company-Sponsored","No","","L0: Community","0","0","0","0.00","0.00","0.00","0.00","0.00","0.00","Victoria Aroworade","Victoria Aroworade","a2s690000019Jz6","DPP Micro Reader"
